Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.15    425.97     0.70 411682522     0.00     0.00  std::__shared_ptr_access<material, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.14    426.64     0.67 50109974     0.00     0.00  dielectric::reflectance(double, double)
  0.14    427.29     0.65 82100916     0.00     0.00  void __gnu_cxx::new_allocator<hittable_pdf>::construct<hittable_pdf, std::shared_ptr<hittable>&, vec3&>(hittable_pdf*, std::shared_ptr<hittable>&, vec3&)
  0.14    427.94     0.65 246302748     0.00     0.00  pdf::~pdf()
  0.13    428.58     0.64 656807344     0.00     0.00  std::shared_ptr<hittable>& std::forward<std::shared_ptr<hittable>&>(std::remove_reference<std::shared_ptr<hittable>&>::type&)
  0.13    429.22     0.64 164202696     0.00     0.00  onb::v() const
  0.13    429.85     0.64 164201832     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.13    430.48     0.63 82100916     0.00     0.00  std::shared_ptr<cosine_pdf>::~shared_ptr()
  0.13    431.10     0.62 82100916     0.00     0.00  std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2>::_Sp_counted_ptr_inplace<vec3 const&>(std::allocator<cosine_pdf>, vec3 const&)
  0.13    431.71     0.61 82100916     0.00     0.00  mixture_pdf::mixture_pdf(std::shared_ptr<pdf>, std::shared_ptr<pdf>)
  0.13    432.32     0.61 411682522     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::get() const
  0.13    432.93     0.61 82100916     0.00     0.00  std::__shared_ptr<cosine_pdf, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<std::allocator<cosine_pdf>, vec3 const&>(std::_Sp_alloc_shared_tag<std::allocator<cosine_pdf> >, vec3 const&)
  0.13    433.54     0.61 82100916     0.00     0.00  cosine_pdf::cosine_pdf(vec3 const&)
  0.12    434.14     0.60 36000000     0.00     0.00  camera::get_ray(double, double) const
  0.12    434.71     0.57 36000000     0.00     0.00  std::shared_ptr<hittable>::shared_ptr<hittable_list, void>(std::shared_ptr<hittable_list> const&)
  0.12    435.27     0.57 164201832     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2>*)
  0.12    435.84     0.57 328403755     0.00     0.00  operator new(unsigned long, void*)
  0.12    436.40     0.56 656807352     0.00     0.00  vec3 const& std::forward<vec3 const&>(std::remove_reference<vec3 const&>::type&)
  0.12    436.96     0.56 328403664     0.00     0.00  std::allocator<cosine_pdf>::~allocator()
  0.11    437.50     0.55 656807336     0.00     0.00  vec3& std::forward<vec3&>(std::remove_reference<vec3&>::type&)
  0.11    438.04     0.54 20517372     0.00     0.00  random_to_sphere(double, double)
  0.11    438.57     0.53 82100916     0.00     0.00  hittable_pdf::hittable_pdf(std::shared_ptr<hittable>, vec3 const&)
  0.11    439.10     0.53 440418594     0.00     0.00  std::remove_reference<pdf*&>::type&& std::move<pdf*&>(pdf*&)
  0.11    439.62     0.52 46926341     0.00     0.00  refract(vec3 const&, vec3 const&, double)
  0.10    440.12     0.50 164201862     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::~_Sp_counted_base()
  0.10    440.61     0.50 154100916     0.00     0.00  operator*(vec3 const&, double)
  0.10    441.10     0.49 164790803     0.00     0.00  scatter_record::~scatter_record()
  0.10    441.59     0.49 82100916     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> >::allocate(unsigned long, void const*)
  0.10    442.06     0.47 14595143     0.00     0.00  metal::scatter(ray const&, hit_record const&, scatter_record&) const
  0.10    442.52     0.46 146806198     0.00     0.00  material::emitted(ray const&, hit_record const&, double, double, vec3 const&) const
  0.09    442.97     0.45 41067036     0.00     0.00  random_cosine_direction()
  0.09    443.42     0.45 411682522     0.00     0.00  std::__shared_ptr_access<material, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.09    443.87     0.45 246302748     0.00     0.00  std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.09    444.32     0.45 96273425     0.00     0.00  solid_color::value(double, double, vec3 const&) const
  0.09    444.77     0.45 82100916     0.00     0.00  void __gnu_cxx::new_allocator<cosine_pdf>::destroy<cosine_pdf>(cosine_pdf*)
  0.09    445.21     0.44 82100916     0.00     0.00  std::allocator_traits<std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> > >::deallocate(std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2>*, unsigned long)
  0.09    445.65     0.44 246302748     0.00     0.00  std::__shared_ptr_access<pdf, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.09    446.09     0.44 246302748     0.00     0.00  std::allocator<cosine_pdf>::allocator(std::allocator<cosine_pdf> const&)
  0.09    446.52     0.44 164201832     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2>*)
  0.09    446.95     0.43 164201832     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> >::allocator<cosine_pdf>(std::allocator<cosine_pdf> const&)
  0.09    447.38     0.43 41033880     0.00     0.00  hittable_list::random(vec3 const&) const
  0.09    447.81     0.43 82100916     0.00     0.00  std::shared_ptr<hittable_pdf> std::make_shared<hittable_pdf, std::shared_ptr<hittable>&, vec3&>(std::shared_ptr<hittable>&, vec3&)
  0.09    448.23     0.42 82100916     0.00     0.00  std::__shared_ptr<hittable_pdf, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<std::allocator<hittable_pdf>, std::shared_ptr<hittable>&, vec3&>(std::_Sp_alloc_shared_tag<std::allocator<hittable_pdf> >, std::shared_ptr<hittable>&, vec3&)
  0.09    448.65     0.42 164201832     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> >::~allocator()
  0.09    449.07     0.42 164201832     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> >::allocator<hittable_pdf>(std::allocator<hittable_pdf> const&)
  0.09    449.49     0.42 82100916     0.00     0.00  void std::allocator_traits<std::allocator<cosine_pdf> >::construct<cosine_pdf, vec3 const&>(std::allocator<cosine_pdf>&, cosine_pdf*, vec3 const&)
  0.09    449.90     0.41 82100916     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> >::allocate(unsigned long, void const*)
  0.08    450.30     0.40 82100916     0.00     0.00  std::shared_ptr<cosine_pdf> std::make_shared<cosine_pdf, vec3 const&>(vec3 const&)
  0.08    450.69     0.40 82100916     0.00     0.00  void std::allocator_traits<std::allocator<hittable_pdf> >::construct<hittable_pdf, std::shared_ptr<hittable>&, vec3&>(std::allocator<hittable_pdf>&, hittable_pdf*, std::shared_ptr<hittable>&, vec3&)
  0.08    451.09     0.40 41033880     0.00     0.00  hittable_pdf::generate() const
  0.08    451.47     0.39 82100916     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> > >::operator=(decltype(nullptr))
